Word;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;Exclusivity;DominantModality
basecamp;1.722222222;0.333333333;1;0.166666667;0.5;3.666666667;0.473684211;Visual
based;1.789473684;0.368421053;0.368421053;0.789473684;0.421052632;1.894736842;0.271028037;Visual
baseless;2.266666667;0.666666667;0.6;1.066666667;0.533333333;2.266666667;0.234234234;Auditory
baseline;0.888888889;0;0.611111111;0.444444444;0;3.888888889;0.666666667;Visual
baseman;1.071428571;0;0.5;0.071428571;0.142857143;2.785714286;0.609375;Visual
basement;0.65;0;1.65;0.45;1.85;4.15;0.474285714;Visual
baseness;1.272727273;0;0.181818182;0.454545455;0;1.636363636;0.461538462;Visual
bases;0.5625;0.0625;0.8125;0.4375;0.1875;3.125;0.590361446;Visual
bash;2.533333333;0.266666667;1.466666667;0.933333333;0.2;3.4;0.363636364;Visual
basher;1.466666667;0.266666667;1.133333333;0.733333333;0.2;2.866666667;0.4;Visual
bashful;2.153846154;0.461538462;0.538461538;2.461538462;0.384615385;2.230769231;0.252336449;Interoceptive
bashfully;1.684210526;0;0.052631579;2.210526316;0.052631579;2.631578947;0.396825397;Visual
bashfulness;1.555555556;0;0;2.222222222;0;3.222222222;0.46031746;Visual
basic;2.052631579;0.947368421;1.157894737;0.368421053;0.631578947;2.947368421;0.318181818;Visual
basically;1;0.473684211;0.631578947;0.631578947;0.526315789;1;0.12345679;Auditory
basics;1.65;0.1;0.65;0.4;0.2;2.85;0.47008547;Visual
basil;0.25;4.2;1.65;0.3;3.1;3.2;0.311023622;Gustatory
basin;0.866666667;0.333333333;1.8;0.333333333;0.333333333;4.533333333;0.512195122;Visual
basinet;0.352941176;0.117647059;2.382352941;0.294117647;0.147058824;3.705882353;0.512605042;Visual
basis;1.810810811;0.243243243;0.594594595;0.594594595;0.189189189;2.027027027;0.336633663;Visual
bask;0.266666667;0.2;2.4;1.6;0.266666667;1.6;0.347368421;Haptic
basket;0.0625;0;4.375;0;0.0625;4.625;0.506849315;Visual
basketball;1.888888889;0.055555556;2.722222222;0.833333333;0.166666667;4;0.408045977;Visual
basketball court;1.9375;0.0625;2.3125;0.6875;0.5625;4.625;0.447852761;Visual
basketball hoop;0.904761905;0.428571429;2.238095238;0.428571429;0.476190476;4.142857143;0.430939227;Visual
basketball player;3.1875;0.375;1.625;0.5625;0.9375;4.75;0.382513661;Visual
basketball team;2.777777778;0.166666667;1.111111111;0.222222222;0.888888889;4.111111111;0.425149701;Visual
basketful;1.153846154;0.461538462;2.384615385;0.307692308;0.769230769;4.307692308;0.426229508;Visual
basketry;0;0;1.928571429;0;0.071428571;2.5;0.555555556;Visual
basketwork;0.5;0.111111111;2.888888889;0;0.222222222;4.055555556;0.521428571;Visual
bass;4.052631579;0.684210526;1.842105263;1.263157895;0.526315789;1.947368421;0.341836735;Auditory
bass guitar;4.5;0;2.388888889;0.833333333;0.166666667;3.388888889;0.399014778;Auditory
bassinet;0.684210526;0.157894737;2.157894737;0.263157895;0.105263158;3.631578947;0.503759398;Visual
bassist;4.8125;0.5;1.3125;0.6875;0.5;3.75;0.372972973;Auditory
bassoon;3;0.181818182;1.818181818;0.181818182;0.272727273;2.181818182;0.369047619;Auditory
bassoonist;4.538461538;0.076923077;0.846153846;0.153846154;0.153846154;3.615384615;0.475409836;Auditory
bastard;2.058823529;0;0.294117647;0.294117647;0;2.941176471;0.526315789;Visual
bastardization;1.466666667;0;0.333333333;0.933333333;0;2.533333333;0.481012658;Visual
bastardize;1.882352941;0;0.058823529;0.294117647;0;1.470588235;0.507936508;Auditory
bastardly;1.9375;0.3125;0.6875;2.4375;0.375;2.5625;0.270676692;Visual
baste;0.6;0.6;1.4;0.066666667;1.333333333;2.6;0.383838384;Visual
basting;0.363636364;0.636363636;1.454545455;0.090909091;0.636363636;3.272727273;0.492957746;Visual
bat;1.947368421;0.052631579;2.578947368;0.157894737;0.105263158;4.052631579;0.449704142;Visual
batboy;1.65;0;0.45;0;0.15;2.75;0.55;Visual
batch;1;0.55;1.65;0.45;0.35;3.35;0.408163265;Visual
bath;1.631578947;0;4.157894737;2;1.157894737;4.157894737;0.317269076;Visual
bath mat;0.052631579;0;3.052631579;0.052631579;0.263157895;3.842105263;0.528985507;Visual
bath towel;0.444444444;0.111111111;3.722222222;0.388888889;1;4.277777778;0.418994413;Visual
bathe;2.375;0.4375;3.375;1.9375;1.3125;3.875;0.258215962;Visual
bathhouse;1.05;0;2.25;1.05;1.3;3.95;0.411458333;Visual
bathing;2.105263158;0.263157895;3.947368421;1.842105263;1.315789474;3.947368421;0.274509804;Visual
bathing suit;0;0;2.157894737;0.105263158;0.052631579;4.473684211;0.658914729;Visual
bathmat;0.5;0.05;3.8;0.3;0.45;4.1;0.440217391;Visual
bathrobe;0.2;0.05;3.65;0.25;0.6;4.15;0.460674157;Visual
bathroom;1.35;0;2.25;0.8;2;4.7;0.423423423;Visual
bathtub;1.277777778;0;3.333333333;1.444444444;1.222222222;4;0.354679803;Visual
